Production_Year,States_In_Number,Variety_Rank,Modal Price
2013,3,50,4303.952800505546
2013,3,57,4349.487382365277
2013,3,61,4171.825629097998
2013,3,63,4297.82187088274
2013,3,65,4331.314271098906
2013,3,69,4613.0
2013,3,75,4751.247345775355
2013,3,86,4978.861544062344
2013,4,8,4584.5
2013,4,25,4963.833333333333
2013,4,29,4415.085183636141
2013,4,31,4517.0625
2013,4,36,4719.424242424243
2013,4,43,4934.833333333334
2013,4,46,4161.612609612609
2013,4,47,4615.791666666666
2013,4,51,4420.768945459769
2013,4,52,3702.9038461538466
2013,4,57,4078.6659638709016
2013,4,58,4396.314225843191
2013,4,66,4568.290375640797
2013,4,67,3909.5195096570096
2013,4,74,4614.670467081937
2013,4,90,4562.5
2013,5,4,3074.355263157895
2013,5,11,4537.5
2013,5,16,3797.407407407407
2013,5,48,4593.06937799043
2013,5,49,4941.25
2013,5,56,4917.76039878537
2013,5,57,4554.811916905983
2013,5,58,4665.0
2013,5,61,4500.0
2013,5,64,4432.172560044083
2013,5,65,4585.479797979798
2013,5,76,4761.819948645356
2013,7,57,4747.48679837096
2013,7,65,4797.317438286351
2013,7,70,4723.525755606982
2013,8,39,4320.317129403334
2013,8,44,3874.0
2013,8,50,4160.416666666666
2013,8,57,4264.366764185182
2013,8,67,4320.630018408215
2013,9,24,4565.25
2013,9,57,4680.32412581575
2013,9,65,4784.55585974175
2013,9,70,4752.862192091284
2013,10,9,4849.166666666667
2013,10,57,4699.662069922294
2013,10,65,4643.428984524563
2013,10,70,4669.439994027106
2014,0,15,4297.222222222222
2014,0,29,4050.0
2014,0,34,4000.0
2014,0,56,4116.746411483253
2014,0,57,4475.063636363637
2014,0,70,4050.0
2014,0,73,4041.666666666667
2014,1,9,4487.821256256583
2014,1,11,3000.0
2014,1,13,3500.0
2014,1,17,3600.0
2014,1,20,4341.666666666667
2014,1,21,3100.0
2014,1,23,3000.0
2014,1,24,4138.0
2014,1,29,4324.511341629647
2014,1,31,3250.0
2014,1,34,4137.5
2014,1,35,4326.38888888889
2014,1,44,3936.3636363636365
2014,1,45,4260.0
2014,1,48,3218.75
2014,1,50,3613.75
2014,1,51,3900.0
2014,1,54,3950.0
2014,1,56,4001.9395238095226
2014,1,57,4088.280531081223
2014,1,58,3000.0
2014,1,63,4300.0
2014,1,65,3605.2180152295964
2014,1,70,3746.55
2014,1,75,4400.0
2014,2,29,4070.129352549807
2014,2,39,4035.944444444445
2014,2,45,4110.0
2014,2,57,4370.592220239086
2014,2,68,3877.4425451425454
2014,2,69,5043.0
2014,2,75,3825.0
2014,2,86,5730.277116402117
2014,3,39,4340.57884399551
2014,3,50,4433.299702753835
2014,3,57,4376.226364736373
2014,3,61,4761.153333333334
2014,3,65,4268.203246145942
2014,3,70,5007.666666666667
2014,3,75,5100.194736842105
2014,3,86,5243.884860961929
2014,4,29,4843.180130166103
2014,4,31,3719.6638471177944
2014,4,36,4484.871428571429
2014,4,43,4834.333333333334
2014,4,46,4418.328164890664
2014,4,47,4875.0
2014,4,51,4593.070583264656
2014,4,52,3950.4320233008384
2014,4,57,4108.573838021083
2014,4,58,4615.446147044789
2014,4,66,4763.271434121434
2014,4,67,4065.772779304029
2014,4,74,4981.28652392868
2014,5,11,5000.0
2014,5,16,3592.976190476191
2014,5,34,4102.60101010101
2014,5,48,4428.915341275511
2014,5,49,4578.434220033858
2014,5,56,4372.58648998509
2014,5,57,4367.445404332442
2014,5,58,4975.0
2014,5,64,4460.271541801613
2014,5,65,5091.666666666667
2014,5,70,5401.833333333334
