Production_Year,Month,States_In_Number,Variety_Rank,Modal Price
2021,3,5,57,4800.0
2021,3,5,57,4700.0
2021,3,5,57,4900.0
2021,3,5,57,4800.0
2021,3,5,57,5000.0
2021,3,5,57,4800.0
2021,3,5,57,5200.0
2021,3,5,57,5200.0
2021,3,5,57,4900.0
2021,3,5,57,5200.0
2021,3,5,57,5200.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,4,5,57,5000.0
2021,4,5,57,5000.0
2021,4,5,57,5000.0
2021,4,5,57,5000.0
2021,4,5,57,5100.0
2021,4,5,57,4900.0
2021,4,5,57,4800.0
2021,4,5,57,5000.0
2021,4,5,57,5100.0
2021,4,5,57,4800.0
2021,4,5,57,5200.0
2021,4,5,57,4600.0
2021,4,5,57,4800.0
2021,4,5,57,5000.0
2021,4,5,57,5000.0
2021,4,5,57,4800.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5000.0
2021,5,5,57,5000.0
2021,5,5,57,4900.0
2021,5,5,57,4900.0
2021,5,5,57,5000.0
2021,6,5,57,4900.0
2021,6,5,57,4900.0
2021,6,5,57,5000.0
2021,6,5,57,4421.5
2021,6,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,4900.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4700.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4900.0
2021,1,5,57,4700.0
2021,1,5,57,4700.0
2021,1,5,57,4900.0
2021,1,5,57,4600.0
2021,1,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4900.0
2021,1,5,57,4700.0
2021,1,5,57,4800.0
2021,1,5,57,4800.0
2021,1,5,57,4800.0
2021,1,5,57,4900.0
2021,1,5,57,4900.0
2021,1,5,57,5000.0
2021,1,5,57,4900.0
2021,1,5,57,4800.0
2021,2,5,57,4900.0
2021,2,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,5100.0
2021,2,5,57,4900.0
2021,2,5,57,4800.0
2021,2,5,57,4900.0
2021,2,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,5000.0
2021,2,5,57,4700.0
2021,2,5,57,4700.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,3,5,57,4700.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,4900.0
2021,3,5,57,4800.0
2021,3,5,57,4900.0
2021,3,5,57,5000.0
2021,3,5,57,4800.0
2021,3,5,57,4700.0
2021,3,5,57,5000.0
2021,3,5,57,5200.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5100.0
2021,3,5,57,5200.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5200.0
2021,3,5,57,5100.0
2021,3,5,57,5200.0
2021,3,5,57,5200.0
2021,3,5,57,5200.0
2021,3,5,57,5100.0
2021,3,5,57,4421.5
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,4,5,57,5100.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5000.0
2021,4,5,57,5100.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5300.0
2021,4,5,57,5200.0
2021,4,5,57,5100.0
2021,4,5,57,4900.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,4800.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,4,5,57,5100.0
2021,4,5,57,5200.0
2021,4,5,57,5200.0
2021,5,5,57,4900.0
2021,5,5,57,5000.0
2021,5,5,57,4900.0
2021,5,5,57,5200.0
2021,6,5,57,5000.0
2021,6,5,57,4900.0
2021,6,5,57,4900.0
2021,6,5,57,4500.0
2021,6,5,57,4421.5
2021,1,5,57,5045.0
2021,1,5,57,5325.0
2021,1,5,57,5480.0
2021,1,5,57,5400.0
2021,1,5,57,5355.0
2021,1,5,57,5480.0
2021,1,5,57,5395.0
2021,1,5,57,5445.0
2021,1,5,57,5495.0
2021,1,5,57,5420.0
2021,1,5,57,5525.0
2021,1,5,57,5450.0
2021,1,5,57,5475.0
2021,1,5,57,5685.0
